FIPS,State Name,State,2012 Food Insecurity Rate,# of Food Insecure Persons in 2012 ,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ≤ Low Threshold,% FI Btwn Thresholds,% FI > High Threshold,2012 Child Food Insecurity Rate,# of Food Insecure Children in 2012,% food insecure Children in HH w/HH Incomes Below 185 FPL in 2012,% food insecure Children in HH w/HH Incomes Above 185 FPL in 2012,2012 Cost Per Meal,2012 Weighted Annual Food Budget Shortfall,
1,Alabama,AL,18.6%,"895,430",130%,SNAP,185%,Other Nutrition Program,53.3%,18.5%,28.2%,25.8%,"289,960",74%,26%,$2.75,"$430,525,000",
2,Alaska,AK,14.0%,"102,180",130%,SNAP,185%,Other Nutrition Program,44.7%,18.2%,37.1%,19.6%,"36,650",61%,39%,$3.11,"$55,653,000",
4,Arizona,AZ,17.8%,"1,169,570",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",69.3%,0.0%,30.7%,28.2%,"456,760",71%,29%,$2.57,"$526,731,000",
5,Arkansas,AR,19.4%,"573,030",130%,SNAP,185%,Other Nutrition Program,54.3%,16.6%,29.0%,27.7%,"196,950",73%,27%,$2.60,"$260,570,000",
6,California,CA,16.2%,"6,179,590",130%,SNAP,185%,Other Nutrition Program,58.1%,15.8%,26.1%,26.3%,"2,426,510",71%,29%,$2.80,"$3,032,920,000",
8,Colorado,CO,14.6%,"755,730",130%,SNAP,185%,Other Nutrition Program,48.2%,16.3%,35.5%,21.3%,"262,110",64%,36%,$2.84,"$375,542,000",
9,Connecticut,CT,13.9%,"498,460",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",54.3%,0.0%,45.7%,19.6%,"155,380",57%,43%,$2.92,"$255,104,000",
10,Delaware,DE,13.0%,"119,500",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",65.4%,0.0%,34.6%,18.3%,"37,430",74%,26%,$2.89,"$60,381,000",
11,District of Columbia,DC,14.5%,"91,540",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",70.4%,0.0%,29.6%,28.0%,"30,600",68%,32%,$3.77,"$60,483,000",
12,Florida,FL,17.9%,"3,448,220",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",73.5%,0.0%,26.5%,27.6%,"1,103,850",70%,30%,$2.88,"$1,737,045,000",
13,Georgia,GA,18.9%,"1,874,590",130%,SNAP,185%,Other Nutrition Program,55.4%,16.8%,27.8%,28.1%,"700,780",71%,29%,$2.70,"$887,782,000",
15,Hawaii,HI,14.2%,"197,280",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",56.2%,0.0%,43.8%,23.9%,"72,390",52%,48%,$2.86,"$98,954,000",
16,Idaho,ID,15.8%,"252,060",130%,SNAP,185%,Other Nutrition Program,49.7%,19.8%,30.4%,21.6%,"91,730",68%,32%,$2.69,"$118,756,000",
17,Illinois,IL,14.2%,"1,833,810",130%,SNAP,185%,Other Nutrition Program,51.5%,15.6%,32.9%,21.6%,"661,950",67%,33%,$2.46,"$791,626,000",
18,Indiana,IN,15.7%,"1,023,650",130%,SNAP,185%,Other Nutrition Program,54.1%,14.8%,31.0%,21.8%,"345,730",71%,29%,$2.43,"$435,300,000",
19,Iowa,IA,12.7%,"389,730",160%,SNAP,185%,Other Nutrition Program,52.4%,7.8%,39.8%,19.3%,"139,200",56%,44%,$2.47,"$168,364,000",
20,Kansas,KS,14.8%,"426,850",130%,SNAP,185%,Other Nutrition Program,50.1%,15.2%,34.7%,22.5%,"162,400",68%,32%,$2.61,"$195,411,000",
21,Kentucky,KY,16.7%,"730,480",130%,SNAP,185%,Other Nutrition Program,58.0%,13.6%,28.4%,21.6%,"220,170",74%,26%,$2.51,"$321,101,000",
22,Louisiana,LA,16.9%,"778,200",130%,SNAP,185%,Other Nutrition Program,57.5%,14.9%,27.6%,23.4%,"261,960",72%,28%,$2.73,"$371,618,000",
23,Maine,ME,15.5%,"206,000",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",63.7%,0.0%,36.3%,24.1%,"64,200",69%,31%,$3.09,"$111,393,000",
24,Maryland,MD,13.1%,"773,200",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",59.0%,0.0%,41.0%,19.3%,"259,330",57%,43%,$2.87,"$388,236,000",
25,Massachusetts,MA,11.9%,"789,800",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",63.1%,0.0%,36.9%,16.6%,"232,270",62%,38%,$3.04,"$420,701,000",
26,Michigan,MI,16.8%,"1,660,050",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",73.5%,0.0%,26.5%,22.3%,"505,730",68%,32%,$2.54,"$737,072,000",
27,Minnesota,MN,10.7%,"578,070",165%,SNAP,185%,Other Nutrition Program,58.9%,5.3%,35.9%,16.1%,"205,910",65%,35%,$2.71,"$274,262,000",
28,Mississippi,MS,22.3%,"665,790",130%,SNAP,185%,Other Nutrition Program,59.4%,15.9%,24.7%,28.7%,"214,720",75%,25%,$2.79,"$324,903,000",
29,Missouri,MO,17.1%,"1,031,030",130%,SNAP,185%,Other Nutrition Program,51.5%,17.7%,30.7%,22.0%,"308,110",68%,32%,$2.53,"$457,126,000",
30,Montana,MT,14.6%,"146,580",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",67.9%,0.0%,32.1%,22.0%,"48,500",64%,36%,$2.66,"$68,331,000",
